alternative,probability_1,probability_2,probability_3
person_id,511623.0,511624.0,511626.0
0,3.2339679243533643e-06,3.2339679243533643e-06,3.2339679243533643e-06
1,4.182573804327236e-06,4.182573804327236e-06,4.182573804327236e-06
2,9.05455641185105e-06,9.05455641185105e-06,9.05455641185105e-06
3,4.165619068672572e-06,4.165619068672572e-06,4.165619068672572e-06
4,1.971669465125099e-05,1.971669465125099e-05,1.971669465125099e-05
5,0.00015456946254372277,0.00015456946254372277,0.00015456946254372277
6,0.00030578804766105645,0.00030578804766105645,0.00030578804766105645
7,0.0005273420850944902,0.0005273420850944902,0.0005273420850944902
8,0.000676970353582374,0.000676970353582374,0.000676970353582374
9,0.00031891908413457303,0.00031891908413457303,0.00031891908413457303
10,0.00041889680462628274,0.00041889680462628274,0.00041889680462628274
11,8.21040500069896e-05,8.21040500069896e-05,8.21040500069896e-05
12,6.533952620566618e-06,6.533952620566618e-06,6.533952620566618e-06
13,2.343304033752474e-05,2.343304033752474e-05,2.343304033752474e-05
14,2.6840482427983257e-05,2.6840482427983257e-05,2.6840482427983257e-05
15,0.0003158005828766315,0.0003158005828766315,0.0003158005828766315
16,0.0005025058979025339,0.0005025058979025339,0.0005025058979025339
17,0.00010821420677270744,0.00010821420677270744,0.00010821420677270744
18,2.9621737301000804e-05,2.9621737301000804e-05,2.9621737301000804e-05
19,0.0002745118446935533,0.0002745118446935533,0.0002745118446935533
20,0.0001434469065912818,0.0001434469065912818,0.0001434469065912818
21,6.775849590171708e-05,6.775849590171708e-05,6.775849590171708e-05
22,7.900299103705108e-05,7.900299103705108e-05,7.900299103705108e-05
23,6.772099102036123e-05,6.772099102036123e-05,6.772099102036123e-05
24,0.00039746433225528734,0.00039746433225528734,0.00039746433225528734
25,0.0002014388022302226,0.0002014388022302226,0.0002014388022302226
26,0.0003008597541407244,0.0003008597541407244,0.0003008597541407244
27,0.0002117259601178633,0.0002117259601178633,0.0002117259601178633
28,0.00016243551455731304,0.00016243551455731304,0.00016243551455731304
29,0.00045544137824008097,0.00045544137824008097,0.00045544137824008097
30,0.00012639169848825723,0.00012639169848825723,0.00012639169848825723
31,0.0002302603250581823,0.0002302603250581823,0.0002302603250581823
32,0.0003233566253334993,0.0003233566253334993,0.0003233566253334993
33,0.00016613186032895386,0.00016613186032895386,0.00016613186032895386
34,0.000382106690546344,0.000382106690546344,0.000382106690546344
35,0.0006974181304143727,0.0006974181304143727,0.0006974181304143727
36,0.0002854545402136865,0.0002854545402136865,0.0002854545402136865
37,0.0002771531377126865,0.0002771531377126865,0.0002771531377126865
38,0.00021760322915406912,0.00021760322915406912,0.00021760322915406912
39,0.0001919287000906678,0.0001919287000906678,0.0001919287000906678
40,0.00015238519809738206,0.00015238519809738206,0.00015238519809738206
41,0.0005391808022011359,0.0005391808022011359,0.0005391808022011359
42,0.00020788858613524026,0.00020788858613524026,0.00020788858613524026
