NONE,0
c_ivt,-0.0279
c_ivt_lrt,-0.01692
c_ivt_ferry,-0.01504
c_ivt_exp,-0.0175
c_ivt_hvy,-0.022320000000000003
c_ivt_com,-0.022320000000000003
c_short_i_wait,-0.0376
c_long_i_wait,-0.0188
c_wacc,-0.0376
c_wegr,-0.0376
c_waux,-0.0376
c_dtim,-0.0376
c_xfers_wlk,-0.1395
c_xfers_drv,-0.41850000000000004
c_xwait,-0.0376
c_walktimeshort,-0.0376
c_walktimelong,-0.188
c_biketimeshort,-0.0752
c_biketimelong,-0.376
c_dacc_ratio,0
c_topology_walk,-0.41850000000000004
c_topology_bike,-0.558
c_topology_trn,-0.06138000000000001
c_density_index,0.00558
c_origin_density_index,0.016739999999999998
c_origin_density_index_max,0.41850000000000004
origin_density_applied,True
c_age1619_da,0
c_age010_trn,0
c_age16p_sr,0
c_hhsize1_sr,-0.7346
c_hhsize2_sr,0
sov_ASC_sr2,-999
sov_ASC_sr3p,-999
sov_ASC_walk,-1.7875
sov_ASC_rh,-7.0
sr2_ASC_sr2,2.2815
sr2_ASC_sr3p,-999
sr2_ASC_walk,1.1789
sr2_ASC_rh,-7.0
sr3p_ASC_sr2,1.0387
sr3p_ASC_sr3p,2.4128
sr3p_ASC_walk,0.8102
sr3p_ASC_rh,-6.026
walk_ASC_rh,-7.0
bike_ASC_walk,-5.0532
bike_ASC_rh,-7.0
walk_transit_ASC_lightrail,0.5392
walk_transit_ASC_ferry,0.6466
walk_transit_ASC_express,0.6648
walk_transit_ASC_heavyrail,0.5403
walk_transit_ASC_commuter,0.5129
walk_transit_ASC_sr2,-22.6587
walk_transit_ASC_sr3p,-35.958
walk_transit_ASC_walk,0.5165
walk_transit_ASC_rh,-3.8506
drive_transit_ASC_lightrail,0.5392
drive_transit_ASC_ferry,0.6466
drive_transit_ASC_express,0.6648
drive_transit_ASC_heavyrail,0.5403
drive_transit_ASC_commuter,0.5129
drive_transit_ASC_rh,-4.25
ride_hail_ASC_sr2,-5.2763
ride_hail_ASC_sr3p,-7
ride_hail_ASC_walk,-2.6103
ride_hail_ASC_walk_transit,0
ride_hail_ASC_taxi,-1.7764
ride_hail_ASC_tnc_single,1.2143
ride_hail_ASC_tnc_shared,0
