alternative,utility_1,utility_2,utility_3
person_id,511623.0,511624.0,511626.0
0,-4.234832558503198,-4.234832558503198,-4.234832558503198
1,-3.977615601643894,-3.977615601643894,-3.977615601643894
2,-3.2052742994152035,-3.2052742994152035,-3.2052742994152035
3,-3.9816775008414744,-3.9816775008414744,-3.9816775008414744
4,-2.4270766802590837,-2.4270766802590837,-2.4270766802590837
5,-0.36789881029868177,-0.36789881029868177,-0.36789881029868177
6,0.31434980590300743,0.31434980590300743,0.31434980590300743
7,0.8593070544310226,0.8593070544310226,0.8593070544310226
8,1.1090850797345961,1.1090850797345961,1.1090850797345961
9,0.3563950145076369,0.3563950145076369,0.3563950145076369
10,0.6290821985622665,0.6290821985622665,0.6290821985622665
11,-1.0005550559387588,-1.0005550559387588,-1.0005550559387588
12,-3.5315303394124267,-3.5315303394124267,-3.5315303394124267
13,-2.2543953946578266,-2.2543953946578266,-2.2543953946578266
14,-2.118631115191937,-2.118631115191937,-2.118631115191937
15,0.34656854618346866,0.34656854618346866,0.34656854618346866
16,0.8110649756329762,0.8110649756329762,0.8110649756329762
17,-0.7244297425160333,-0.7244297425160333,-0.7244297425160333
18,-2.0200339412602184,-2.0200339412602184,-2.0200339412602184
19,0.2064520087353916,0.2064520087353916,0.2064520087353916
20,-0.4425774235248827,-0.4425774235248827,-0.4425774235248827
21,-1.192592548689702,-1.192592548689702,-1.192592548689702
22,-1.0390566883720478,-1.0390566883720478,-1.0390566883720478
23,-1.1931462101061419,-1.1931462101061419,-1.1931462101061419
24,0.5765627985421702,0.5765627985421702,0.5765627985421702
25,-0.10305677710990402,-0.10305677710990402,-0.10305677710990402
26,0.29810182173018607,0.29810182173018607,0.29810182173018607
27,-0.053249603813291024,-0.053249603813291024,-0.053249603813291024
28,-0.3182613118337594,-0.3182613118337594,-0.3182613118337594
29,0.7127246094600723,0.7127246094600723,0.7127246094600723
30,-0.5691565983118378,-0.5691565983118378,-0.5691565983118378
31,0.030668115594285617,0.030668115594285617,0.030668115594285617
32,0.3702134159978403,0.3702134159978403,0.3702134159978403
33,-0.29576058898377156,-0.29576058898377156,-0.29576058898377156
34,0.537157462884184,0.537157462884184,0.537157462884184
35,1.1388427297055994,1.1388427297055994,1.1388427297055994
36,0.24554038639338582,0.24554038639338582,0.24554038639338582
37,0.21602779580280895,0.21602779580280895,0.21602779580280895
38,-0.02586904661671774,-0.02586904661671774,-0.02586904661671774
39,-0.15141845198636084,-0.15141845198636084,-0.15141845198636084
40,-0.38213088816053364,-0.38213088816053364,-0.38213088816053364
41,0.8815085533870262,0.8815085533870262,0.8815085533870262
42,-0.07154010873837446,-0.07154010873837446,-0.07154010873837446
43,-0.2934370130625741,-0.2934370130625741,-0.2934370130625741
44,-0.21641038867764628,-0.21641038867764628,-0.21641038867764628
45,-0.22614224601926658,-0.22614224601926658,-0.22614224601926658
46,-1.161082383267554,-1.161082383267554,-1.161082383267554
47,-0.0189403128886223,-0.0189403128886223,-0.0189403128886223
48,-0.010642585966223805,-0.010642585966223805,-0.010642585966223805
49,0.3103822997559291,0.3103822997559291,0.3103822997559291
50,-0.21679666791300445,-0.21679666791300445,-0.21679666791300445
51,-0.005943272806294253,-0.005943272806294253,-0.005943272806294253
52,-3.5351531814849593,-3.5351531814849593,-3.5351531814849593
53,0.6234687640987318,0.6234687640987318,0.6234687640987318
54,-0.28950725415512313,-0.28950725415512313,-0.28950725415512313
55,-5.3821126859155175,-5.3821126859155175,-5.3821126859155175
56,0.33293453256696637,0.33293453256696637,0.33293453256696637
57,0.4060859856033465,0.4060859856033465,0.4060859856033465
58,0.7728863950990776,0.7728863950990776,0.7728863950990776
59,0.14858549661025755,0.14858549661025755,0.14858549661025755
60,0.03090463610362182,0.03090463610362182,0.03090463610362182
61,0.943103566314127,0.943103566314127,0.943103566314127
62,0.5856703338663385,0.5856703338663385,0.5856703338663385
63,0.6090693382329144,0.6090693382329144,0.6090693382329144
64,0.541861392414015,0.541861392414015,0.541861392414015
65,-0.2914000849037883,-0.2914000849037883,-0.2914000849037883
66,-0.04503467357273294,-0.04503467357273294,-0.04503467357273294
67,-0.17286147686540687,-0.17286147686540687,-0.17286147686540687
68,0.07571846075139099,0.07571846075139099,0.07571846075139099
69,0.454248930083458,0.454248930083458,0.454248930083458
70,0.3761058543650373,0.3761058543650373,0.3761058543650373
71,-0.9210141070343711,-0.9210141070343711,-0.9210141070343711
72,-0.23081629765964262,-0.23081629765964262,-0.23081629765964262
73,-0.8061589047791466,-0.8061589047791466,-0.8061589047791466
74,-2.7987885512503707,-2.7987885512503707,-2.7987885512503707
75,-0.9254285838721747,-0.9254285838721747,-0.9254285838721747
76,0.16176134502357797,0.16176134502357797,0.16176134502357797
77,0.4390292776491762,0.4390292776491762,0.4390292776491762
78,-0.7791455019202527,-0.7791455019202527,-0.7791455019202527
79,-0.08074645162722494,-0.08074645162722494,-0.08074645162722494
80,0.6108766105399903,0.6108766105399903,0.6108766105399903
81,-1.2652256005618572,-1.2652256005618572,-1.2652256005618572
82,-0.4535285037437413,-0.4535285037437413,-0.4535285037437413
83,-0.6441760867123083,-0.6441760867123083,-0.6441760867123083
84,-0.22449384718448773,-0.22449384718448773,-0.22449384718448773
85,0.6257173059273313,0.6257173059273313,0.6257173059273313
86,0.043175438707405256,0.043175438707405256,0.043175438707405256
87,-0.1669225129488927,-0.1669225129488927,-0.1669225129488927
88,0.429417556224422,0.429417556224422,0.429417556224422
89,-0.16316911522456845,-0.16316911522456845,-0.16316911522456845
90,0.15662468592960632,0.15662468592960632,0.15662468592960632
91,-0.28838705380489404,-0.28838705380489404,-0.28838705380489404
92,-0.5472698593223528,-0.5472698593223528,-0.5472698593223528
93,-1.0325593773938069,-1.0325593773938069,-1.0325593773938069
94,-0.40730028133032814,-0.40730028133032814,-0.40730028133032814
95,-0.5115197286638864,-0.5115197286638864,-0.5115197286638864
96,-0.12314912041106663,-0.12314912041106663,-0.12314912041106663
97,0.0755885688399438,0.0755885688399438,0.0755885688399438
98,-0.03727655793910856,-0.03727655793910856,-0.03727655793910856
99,0.48791534223867483,0.48791534223867483,0.48791534223867483
100,0.765062205208511,0.765062205208511,0.765062205208511
101,0.08164187292156377,0.08164187292156377,0.08164187292156377
102,-0.1678715696286064,-0.1678715696286064,-0.1678715696286064
103,-0.5063136946010705,-0.5063136946010705,-0.5063136946010705
104,0.8023336231367164,0.8023336231367164,0.8023336231367164
