alternative,utility_1,utility_2
person_id,511625.0,511628.0
0,11.10225305384169,10.422231292966764
1,10.41284933937456,11.19009626683237
2,10.409887166193329,10.171604596909482
3,10.468737646817388,10.049670814776764
4,10.445010607988099,10.237477145417781
5,10.431393445022692,10.445010607988099
6,10.266814619757023,10.317274958781963
7,10.37074332177423,9.886468768808648
8,9.822150446401256,9.726424987012681
9,10.067355145801766,9.66333090509227
10,10.329185368212524,10.087917702124074
11,10.169410039166532,10.518171679630889
12,10.705488572663631,10.558975372132945
13,10.64161596613073,10.798489894660522
14,10.710984454585144,10.742536979648118
15,10.675573215804825,10.608314925510218
16,10.915644108758594,10.81692598183626
17,10.69700600449795,10.735158073751817
18,10.735158073751817,10.992329578080179
19,10.654971593258797,10.369184253888744
20,11.188434759700256,10.242814210139194
21,10.563339423530941,10.27759762393296
22,10.74763159974098,10.483552732452742
23,10.576177150522824,10.655167918400126
24,10.232994547831845,10.534555447139857
25,10.29757876257627,10.28457475118568
26,9.947731652546373,9.982591485797581
27,-999.0,9.673537571839208
28,-999.0,10.178235234035151
29,-999.0,-999.0
