process,time,rss,used,available,percent,event
, 16/05/2021 18:26:52, 0.13, 0.72, 121.97, 1.4%, run_multiprocess.start
, 16/05/2021 18:26:57, 9.96, 0.78, 112.13, 9.3%, allocate_shared_skim_buffer.completed
, 16/05/2021 18:26:57, 9.96, 0.78, 112.13, 9.3%, allocate_shared_shadow_pricing_buffers.completed
, 16/05/2021 18:26:57, 9.96, 0.78, 112.13, 9.3%, mp_setup_skims.start
, 16/05/2021 18:28:43, 9.96, 0.78, 112.13, 9.3%, mp_setup_skims.completed
, 16/05/2021 18:28:43, 10.07, 0.78, 112.13, 9.3%, mp_initialize.start
, 16/05/2021 18:28:44, 10.30, 1.04, 111.86, 9.6%, mp_initialize.initialize_landuse.completed
, 16/05/2021 18:28:46, 19.93, 0.90, 112.01, 9.4%, mp_initialize.compute_accessibility.completed
mp_initialize high water mark rss: 9.96 timestamp: 16/05/2021 18:28:43 label: mp_setup_skims.completed
mp_initialize high water mark used: 0.78 timestamp: 16/05/2021 18:26:57 label: allocate_shared_shadow_pricing_buffers.completed
, 16/05/2021 18:30:32, 9.96, 0.77, 112.14, 9.3%, mp_initialize.initialize_households.completed
, 16/05/2021 18:30:32, 9.96, 0.77, 112.14, 9.3%, mp_initialize.completed
, 16/05/2021 18:30:32, 9.96, 0.77, 112.14, 9.3%, mp_households_apportion.start
, 16/05/2021 18:30:49, 9.96, 0.77, 112.14, 9.3%, mp_households_apportion.completed
, 16/05/2021 18:30:49, 10.07, 0.77, 112.14, 9.3%, mp_households_0.start
, 16/05/2021 18:30:49, 10.18, 0.78, 112.13, 9.3%, mp_households_1.start
, 16/05/2021 18:30:49, 10.30, 0.79, 112.12, 9.4%, mp_households_2.start
, 16/05/2021 18:30:49, 10.42, 0.80, 112.11, 9.4%, mp_households_3.start
, 16/05/2021 18:30:49, 10.55, 0.82, 112.08, 9.4%, mp_households_4.start
, 16/05/2021 18:30:49, 10.68, 0.86, 112.05, 9.4%, mp_households_5.start
, 16/05/2021 18:30:49, 10.81, 0.89, 112.01, 9.4%, mp_households_6.start
, 16/05/2021 18:30:49, 10.96, 0.93, 111.98, 9.5%, mp_households_7.start
, 16/05/2021 18:30:49, 11.09, 0.99, 111.91, 9.5%, mp_households_8.start
, 16/05/2021 18:30:49, 11.27, 1.06, 111.85, 9.6%, mp_households_9.start
, 16/05/2021 18:30:49, 11.48, 1.16, 111.75, 9.7%, mp_households_10.start
, 16/05/2021 18:30:49, 11.65, 1.28, 111.63, 9.8%, mp_households_11.start
, 16/05/2021 18:30:49, 11.90, 1.39, 111.51, 9.8%, mp_households_12.start
, 16/05/2021 18:30:49, 12.14, 1.57, 111.34, 10.0%, mp_households_13.start
, 16/05/2021 18:30:49, 12.44, 1.66, 111.24, 10.1%, mp_households_14.start
, 16/05/2021 18:30:49, 12.62, 1.88, 111.03, 10.2%, mp_households_15.start
mp_households_0, 16/05/2021 18:30:57, 1.94, 33.05, 79.86, 35.4%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_4, 16/05/2021 18:30:57, 1.94, 32.73, 80.18, 35.2%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_14, 16/05/2021 18:30:58, 1.94, 32.32, 80.58, 34.9%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_11, 16/05/2021 18:30:58, 1.94, 32.60, 80.30, 35.1%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_15, 16/05/2021 18:30:58, 1.94, 32.76, 80.14, 35.2%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_2, 16/05/2021 18:30:58, 1.96, 32.21, 80.70, 34.8%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_1, 16/05/2021 18:30:58, 1.94, 34.13, 78.77, 36.3%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_7, 16/05/2021 18:30:58, 1.96, 34.69, 78.21, 36.8%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_3, 16/05/2021 18:30:58, 1.94, 35.05, 77.85, 37.1%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_6, 16/05/2021 18:30:58, 1.96, 34.81, 78.09, 36.9%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_5, 16/05/2021 18:30:58, 1.94, 34.83, 78.08, 36.9%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_13, 16/05/2021 18:30:58, 1.94, 35.20, 77.71, 37.2%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_9, 16/05/2021 18:30:58, 1.96, 35.01, 77.89, 37.0%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_8, 16/05/2021 18:30:58, 1.94, 35.11, 77.79, 37.1%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_10, 16/05/2021 18:30:58, 1.94, 36.71, 76.19, 38.4%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_12, 16/05/2021 18:30:59, 1.94, 37.45, 75.45, 39.0%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_df
mp_households_4, 16/05/2021 18:31:14, 8.16, 39.04, 73.87, 40.3%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_4, 16/05/2021 18:31:15, 8.08, 37.92, 74.99, 39.4%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_4, 16/05/2021 18:31:15, 8.08, 38.67, 74.24, 40.0%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_11, 16/05/2021 18:31:15, 8.25, 37.42, 75.49, 39.0%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_14, 16/05/2021 18:31:15, 8.10, 37.54, 75.36, 39.1%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_0, 16/05/2021 18:31:15, 8.29, 37.53, 75.37, 39.1%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_4, 16/05/2021 18:31:15, 8.08, 37.31, 75.59, 38.9%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
mp_households_14, 16/05/2021 18:31:15, 8.02, 37.52, 75.39, 39.1%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_0, 16/05/2021 18:31:15, 8.21, 37.57, 75.33, 39.1%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_11, 16/05/2021 18:31:15, 8.16, 37.62, 75.28, 39.1%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_11, 16/05/2021 18:31:16, 8.16, 36.66, 76.24, 38.4%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_15, 16/05/2021 18:31:16, 8.18, 36.79, 76.11, 38.5%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_14, 16/05/2021 18:31:16, 8.02, 36.82, 76.08, 38.5%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_0, 16/05/2021 18:31:16, 8.21, 37.06, 75.85, 38.7%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_9, 16/05/2021 18:31:16, 8.21, 37.39, 75.51, 38.9%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_11, 16/05/2021 18:31:16, 8.16, 37.35, 75.56, 38.9%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
mp_households_14, 16/05/2021 18:31:16, 8.02, 36.31, 76.60, 38.1%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
mp_households_3, 16/05/2021 18:31:16, 8.24, 37.13, 75.78, 38.7%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_13, 16/05/2021 18:31:16, 8.15, 36.23, 76.68, 38.0%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_1, 16/05/2021 18:31:16, 8.23, 36.17, 76.73, 38.0%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_0, 16/05/2021 18:31:16, 8.21, 36.34, 76.56, 38.1%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
mp_households_15, 16/05/2021 18:31:16, 8.10, 36.32, 76.59, 38.1%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_2, 16/05/2021 18:31:16, 8.23, 36.37, 76.54, 38.1%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_9, 16/05/2021 18:31:16, 8.12, 35.71, 77.20, 37.6%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_3, 16/05/2021 18:31:16, 8.16, 35.49, 77.41, 37.4%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_15, 16/05/2021 18:31:16, 8.10, 35.90, 77.01, 37.7%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_5, 16/05/2021 18:31:16, 8.23, 36.06, 76.85, 37.9%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_9, 16/05/2021 18:31:16, 8.12, 35.69, 77.21, 37.6%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_6, 16/05/2021 18:31:16, 8.20, 35.78, 77.13, 37.6%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_3, 16/05/2021 18:31:16, 8.16, 35.63, 77.28, 37.5%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_2, 16/05/2021 18:31:16, 8.14, 35.62, 77.28, 37.5%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_13, 16/05/2021 18:31:16, 8.07, 35.86, 77.04, 37.7%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_7, 16/05/2021 18:31:16, 8.14, 35.71, 77.19, 37.6%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_15, 16/05/2021 18:31:16, 8.10, 35.73, 77.18, 37.6%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
mp_households_1, 16/05/2021 18:31:16, 8.15, 35.55, 77.36, 37.5%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_12, 16/05/2021 18:31:16, 8.25, 35.03, 77.88, 37.0%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_5, 16/05/2021 18:31:16, 8.15, 35.02, 77.89, 37.0%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_6, 16/05/2021 18:31:16, 8.11, 34.98, 77.92, 37.0%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_3, 16/05/2021 18:31:16, 8.16, 35.00, 77.90, 37.0%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
mp_households_9, 16/05/2021 18:31:16, 8.12, 35.04, 77.87, 37.0%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
mp_households_2, 16/05/2021 18:31:16, 8.14, 35.13, 77.78, 37.1%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_13, 16/05/2021 18:31:16, 8.07, 35.18, 77.72, 37.2%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_1, 16/05/2021 18:31:16, 8.15, 35.09, 77.82, 37.1%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_8, 16/05/2021 18:31:16, 8.13, 35.08, 77.82, 37.1%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_7, 16/05/2021 18:31:16, 8.06, 35.01, 77.89, 37.0%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_10, 16/05/2021 18:31:16, 8.18, 34.86, 78.04, 36.9%, school_location.i1.sample.university.interaction_sample.chunk_1.add.interaction_utilities
mp_households_12, 16/05/2021 18:31:16, 8.16, 34.65, 78.26, 36.7%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_5, 16/05/2021 18:31:16, 8.15, 34.67, 78.24, 36.7%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_6, 16/05/2021 18:31:16, 8.11, 34.69, 78.22, 36.8%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_2, 16/05/2021 18:31:17, 8.14, 34.69, 78.21, 36.8%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
mp_households_13, 16/05/2021 18:31:17, 8.07, 34.72, 78.18, 36.8%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
mp_households_1, 16/05/2021 18:31:17, 8.15, 34.75, 78.15, 36.8%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
mp_households_7, 16/05/2021 18:31:17, 8.06, 34.77, 78.13, 36.8%, school_location.i1.sample.university.interaction_sample.chunk_1.add.utilities
mp_households_10, 16/05/2021 18:31:17, 8.10, 34.70, 78.21, 36.8%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_8, 16/05/2021 18:31:17, 8.05, 34.62, 78.29, 36.7%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_df
mp_households_5, 16/05/2021 18:31:17, 8.15, 34.63, 78.27, 36.7%, school_location.i1.sample.university.interaction_sample.chunk_1.del.interaction_utilities
