alternative,utility_1,utility_2
tour_id,93102746.0,93102765.0
0,-3.941794871695732,-1.8018379827531485
1,-4.025514870293831,-1.3679379840882926
2,-5.860534910940462,-3.132056013991435
3,-5.988797393572681,-0.5081159157248645
4,-6.767964597791433,-2.2362477166148333
5,-5.093282207949475,-1.2539515738876967
6,-5.5991109294159935,2.347058089306721
7,-5.757721038532999,2.877323599388966
8,-5.274021343638499,3.2972771997253103
9,-5.460998918861151,3.380292631685734
10,-5.572262497991323,2.7962655141949653
11,-5.912914288954602,2.9245077727569475
12,-6.433566834777594,2.8118982538580894
13,-7.009360805686031,3.0024053933365007
14,-7.6587632062534485,2.3681571905811634
15,-8.196816541999578,1.1677239045500754
16,-8.962036546319723,3.107373600682387
17,-11.048261211564142,3.5633134300319047
18,-13.403647895902395,3.7136002096037073
19,-2.965762804605459,3.795561518520117
20,-4.812314610340094,3.3060022197663783
21,-4.884502843850189,3.5884577727152243
22,-5.012765326482408,3.475848253816366
23,-3.9767384751175996,2.7996840695185323
24,-4.117250140859202,1.852107242991527
25,-4.623078862325721,2.9260597916749806
26,-4.249944416949383,3.112332800259957
27,-4.297989276548226,3.2615654567877455
28,-4.388601340353489,3.437994584441185
29,-4.574190600216388,3.10264858007431
30,-5.184509211944209,3.385104133023156
31,-5.7062158808112144,2.405823290348053
32,-6.187542032982622,1.4163304822785516
33,-6.682731139163176,2.8861827979294152
34,-7.220784474909306,3.0714016834703775
35,-8.852675803005695,3.315102158735196
36,-10.07222914447387,3.6457445807754993
37,-2.7474884608466374,3.3103985764086246
38,-2.831208459444736,2.7261828055812254
39,-2.9033966929548316,1.4335733391344547
40,-1.2164651200034902,2.845251681139836
41,-1.9956323242222425,3.124938385417828
42,-2.136143989963845,3.5228521550695104
43,-2.11022815693702,3.8534945771098137
44,-2.268838266054025,2.6514772489666942
45,-2.2205176142354803,1.7539328543676271
46,-2.38545535877347,1.0423132682648988
47,-2.8407114394009114,1.4762132669297547
48,-3.4520841741727457,1.874127036581437
49,-3.879323024302721,1.3380981348454952
50,-4.2064358820872645,-0.17724781706929216
51,-4.7016249882678185,1.2500632645992131
52,-6.106349647790194,1.683963263264069
53,-6.871569652110338,1.2152057091395063
54,-2.3611499400515306,0.365848183631897
55,-2.4448699386496293,1.4578132609335275
56,-0.7018641165761639,1.0250419358221383
57,-0.8301265992083833,0.24295575792590807
58,-1.6092938034271356,-5.573512880274883
59,-1.2180609146753945,-6.31961282915794
60,-1.7238896361419132,-6.5457628314884815
61,-1.7861342338415294,-999.0
62,-1.8121392627557116,-999.0
63,-2.246743828058243,-999.0
64,-2.7030540317296983,-999.0
65,-3.2199589477645025,-999.0
66,-3.492984503507614,-999.0
67,-3.8200973612921576,-999.0
68,-5.181957791248957,-999.0
69,-5.720011126995087,-999.0
70,-2.550082787283157,-999.0
71,-0.818608730297695,-999.0
72,-0.8907969638077904,-999.0
73,-1.0190594464400098,-999.0
74,-1.2664820961654186,-999.0
75,-1.406993761907021,-999.0
76,-1.8164569719561507,-999.0
77,-1.953027250388494,-999.0
78,-2.248699100067218,-999.0
79,-2.684357788413763,-999.0
80,-3.0462001733481885,-999.0
81,-3.408891794996129,-999.0
82,-3.6819173507392406,-999.0
83,-4.875701532300029,-999.0
84,-5.370890638480583,-999.0
85,-0.9344049796575411,-999.0
86,-1.0181249782556399,-999.0
87,-1.0903132117657353,-999.0
88,-0.6868311399046112,-999.0
89,-1.4659983441233635,-999.0
90,-1.510144498447577,-999.0
91,-1.9939333892294338,-999.0
92,-2.4001704884263186,-999.0
93,-2.6968964611490565,-999.0
94,-3.0380873307585716,-999.0
95,-3.2457164213061334,-999.0
96,-3.608408042954074,-999.0
97,-4.748104922473431,-999.0
98,-5.075217780257974,-999.0
99,-1.044344983261238,-999.0
100,-1.1280649818593367,-999.0
101,-0.6685086608760886,-999.0
102,-0.796771143508308,-999.0
103,-1.4795728363096714,-999.0
104,-1.5980446713666119,-999.0
105,-2.3515003829130103,-999.0
106,-2.758791605153909,-999.0
107,-2.961049759139617,-999.0
108,-3.1480273343622684,-999.0
109,-3.35565642490983,-999.0
110,-4.585019370334016,-999.0
111,-4.8580449260771275,-999.0
112,-1.1542849868649347,-999.0
113,-0.70626043096969,-999.0
114,-0.7784486644797854,-999.0
115,-0.8103456356946159,-999.0
116,-1.5674730092287064,-999.0
117,-1.9556116650501885,-999.0
118,-2.710121499640601,-999.0
119,-3.0229449031444697,-999.0
120,-3.070989762743314,-999.0
121,-3.2579673379659653,-999.0
122,-4.332267752289772,-999.0
123,-4.694959373937713,-999.0
124,-1.2033687824089276,-999.0
125,-1.2870887810070264,-999.0
126,-1.2629115030997329,-999.0
127,-1.3691341550472904,-999.0
128,-2.3959283493459225,-999.0
129,-2.7851211282114186,-999.0
130,-3.445163144064801,-999.0
131,-3.603773253181806,-999.0
132,-3.65181811278065,-999.0
133,-4.705467011779547,-999.0
134,-4.913096102327108,-999.0
135,-1.3133087860126245,-999.0
136,-1.3006632731933343,-999.0
137,-1.3508116760187678,-999.0
138,-1.726701148730867,-999.0
139,-2.754549466073513,-999.0
140,-3.049274426201979,-999.0
141,-3.5551031476684978,-999.0
142,-3.713713256785503,-999.0
143,-4.628429440160592,-999.0
144,-4.815407015383244,-999.0
145,-1.3268832781989324,-999.0
146,-1.3885634461123693,-999.0
147,-1.7083786697023444,-999.0
148,-2.0853222654584576,-999.0
149,-3.0187027640640736,-999.0
150,-3.159214429805676,-999.0
151,-3.6650431512721946,-999.0
152,-4.690324584165445,-999.0
153,-4.738369443764289,-999.0
154,-1.8258870871443498,-999.0
155,-2.1572340758223283,-999.0
156,-2.4781034224563174,-999.0
157,-2.7605791994754005,-999.0
158,-3.539746403694153,-999.0
159,-3.680258069435755,-999.0
160,-5.052758114678519,-999.0
161,-5.211368223795525,-999.0
162,-2.1834540808279264,-999.0
163,-2.515855192549919,-999.0
164,-2.742256720446878,-999.0
165,-2.8705192030790974,-999.0
166,-3.6496864072978497,-999.0
167,-4.656869396815697,-999.0
168,-5.162698118282216,-999.0
169,-2.542075197555517,-999.0
170,-2.7800084905404794,-999.0
171,-2.852196724050575,-999.0
172,-2.980459206682794,-999.0
173,-4.626297734677792,-999.0
174,-4.766809400419394,-999.0
175,-4.662703610368466,-999.0
176,-4.746423608966564,-999.0
177,-4.81861184247666,-999.0
178,-5.813545648885124,-999.0
179,-6.592712853103876,-999.0
180,-4.772643613972162,-999.0
181,-4.856363612570261,-999.0
182,-5.795223169856602,-999.0
183,-5.923485652488821,-999.0
184,-4.882583617575859,-999.0
185,-5.832974939950203,-999.0
186,-5.9051631734602985,-999.0
187,-12.23159975872228,-999.0
188,-12.31531975732038,-999.0
189,-12.341539762325977,-999.0
