label,value
tour_id,93102790
person_id,2270799
tour_type,school
tour_type_count,1
tour_type_num,1
tour_num,1
tour_count,1
tour_category,mandatory
number_of_participants,1
destination,977
origin,974
household_id,866761
mandatory_tour_seg,school
hhsize,4
density_index,0.7773036051631254
age,12
age_16_p,False
age_16_to_19,False
auto_ownership,0
num_workers,2
value_of_time,5.775503166354981
free_parking_at_work,False
ptype,7
roundtrip_auto_time_to_work,0.0
income_in_thousands,13.7
work_and_school_and_worker,False
work_and_school_and_student,False
workplace_in_cbd,False
home_is_rural,False
mandatory_tour_frequency,school1
is_worker,False
is_student,True
is_university,False
workplace_taz,-1
school_taz,977
TAZ,974
start_previous,5
end_previous,5
