label,value
tour_id,93102746
person_id,2270798
tour_type,othmaint
tour_type_count,1
tour_type_num,1
tour_num,1
tour_count,1
tour_category,non_mandatory
number_of_participants,1
destination,999.0
origin,974
household_id,866761
tdd,115.0
start,12.0
end,15.0
duration,3.0
composition,
destination_logsum,14.614082500469461
age,3
earning,0
edu,1
hours,0
household_id_r,866761
PNUM,4
race_id,1
relate,2
sex,2
student,0
work_at_home,0
worker,0
home_x,-122.34924519200001
home_y,37.9695116581
TAZ,974
ptype,8
pemploy,4
pstudent,1
age_16_to_19,False
age_16_p,False
adult,False
male,False
female,True
has_non_worker,False
has_retiree,False
has_preschool_kid,False
has_driving_kid,False
has_school_kid,True
has_full_time,True
has_part_time,False
has_university,False
student_is_employed,False
nonstudent_to_school,False
is_student,True
is_gradeschool,True
is_highschool,False
is_university,False
school_segment,1
is_worker,False
home_taz,974
value_of_time,5.775503166354981
school_taz,915
distance_to_school,1.986121654510498
roundtrip_auto_time_to_school,5.728333473205566
workplace_taz,-1
workplace_location_logsum,
distance_to_work,
workplace_in_cbd,False
work_taz_area_type,
roundtrip_auto_time_to_work,0.0
work_auto_savings,0.0
work_auto_savings_ratio,0.0
free_parking_at_work,False
cdap_activity,N
travel_active,True
under16_not_at_school,True
has_preschool_kid_at_home,False
has_school_kid_at_home,False
mandatory_tour_frequency,
work_and_school_and_worker,False
work_and_school_and_student,False
num_mand,0
num_work_tours,0
num_joint_tours,0
non_mandatory_tour_frequency,8
num_non_mand,1
num_escort_tours,0
num_eatout_tours,0
num_shop_tours,0
num_maint_tours,1
num_discr_tours,0
num_social_tours,0
num_non_escort_tours,1
serialno,2010000676000.0
hhsize,4
VEHICL,3
income,13700
race_of_head,1
age_of_head,38
num_workers,2
children,2
tenure,2
recent_mover,1
block_id,60133660022001
HHT,4
sample_rate,0.004
chunk_id,0
income_in_thousands,13.7
income_segment,1
median_value_of_time,6.01
hh_value_of_time,8.658925286889026
num_non_workers,2
num_drivers,2
num_adults,2
num_children,2
num_young_children,1
num_children_5_to_15,1
num_children_16_to_17,0
num_college_age,0
num_young_adults,0
non_family,True
family,False
home_is_urban,False
home_is_rural,False
auto_ownership,0
hh_work_auto_savings_ratio,0.6957204937934875
num_under16_not_at_school,1
num_travel_active,4
num_travel_active_adults,2
num_travel_active_preschoolers,1
num_travel_active_children,2
num_travel_active_non_preschoolers,3
participates_in_jtf_model,True
joint_tour_frequency,0_tours
num_hh_joint_tours,0
auPkRetail,10.474082237415876
auPkTotal,12.787125051286655
auOpRetail,10.689410849380954
auOpTotal,12.991564390610817
trPkRetail,7.228674024292459
trPkTotal,9.406842170780815
trOpRetail,7.228674024292459
trOpTotal,9.406842170780815
nmRetail,6.52596922237141
nmTotal,8.078729940881281
objectid,975
taz1454,1071
district,20
county,Contra Costa
gacres,429.888175288
Shape__Are,0.000110673351173
Shape__Len,0.051288967170921
geometry,"POLYGON ((-122.344394235 37.9677279140001, -122.344894236 37.9662279130001, -122.345394236 37.9651279140001, -122.345594235 37.964127913, -122.345794235 37.963327914, -122.345694235 37.962927914, -122.347294235 37.9626279140001, -122.348009236 37.963067913, -122.348594235 37.9634279140001, -122.351195236 37.9633279130001, -122.351495235 37.964527914, -122.352067237 37.964374913, -122.352995236 37.964127913, -122.355095237 37.9639279130001, -122.355895237 37.9644279130001, -122.355295237 37.965027913, -122.355352237 37.9652169130001, -122.355595236 37.9660279140001, -122.356595237 37.9669279130001, -122.356891237 37.967045914, -122.357023238 37.9670829140001, -122.356971237 37.9672209130001, -122.353980239 37.9788319140001, -122.353791238 37.978796914, -122.353530238 37.9788069140001, -122.353495237 37.9789279140001, -122.351195237 37.978527915, -122.351395237 37.977827914, -122.351595238 37.9771279140001, -122.351695237 37.976527914, -122.352195238 37.9754279140001, -122.351395238 37.9747279150001, -122.350895237 37.9741279140001, -122.350095236 37.9734279140001, -122.349395237 37.9727279140001, -122.348795237 37.9720279150001, -122.348095236 37.971527914, -122.347895236 37.9711279140001, -122.347394237 37.970627914, -122.346794237 37.9700279140001, -122.346194236 37.969427915, -122.346994236 37.9682279140001, -122.346094235 37.9680279140001, -122.345194235 37.967927914, -122.344394235 37.9677279140001))"
TOTHH,1716.0
TOTPOP,6031.0
EMPRES,2469.0
HHINCQ1,542.0
HHINCQ2,533.0
HHINCQ3,456.0
HHINCQ4,185.0
AGE0004,405.0
AGE0519,1559.0
AGE2044,2106.0
AGE4564,1544.0
AGE65P,417.0
AGE62P,600.0
SHPOP62P,0.0994859890565412
TOTEMP,230.0
RETEMPN,14.0
FPSEMPN,11.0
HEREMPN,47.0
AGREMPN,0.0
MWTEMPN,35.0
OTHEMPN,123.0
TOTACRE,260.92254241560124
HSENROLL,0.0
TOPOLOGY,1
employment_density,0.8814876548062016
pop_density,23.11413933102697
hh_density,6.576664415858443
hq1_density,2.0772448213259187
PRKCST,0.0
OPRKCST,0.0
COLLFTE,0.0
COLLPTE,0.0
area_type_metric,25.31785846804247
area_type,4
TERMINAL,0
county_id,1
density_index,0.7773036051631254
primary_purpose,othmaint
in_period,MD
out_period,MD
number_of_participants,1
is_joint,False
_parent_tour_mode,
work_tour_is_drive,False
work_tour_is_bike,False
work_tour_is_SOV,False
is_mandatory,False
is_joint (2),False
is_indiv,True
is_atwork_subtour,False
is_escort,False
ivot,0.1731450873103957
dest_topology,1
terminal_time,0
dest_density_index,1.5753364769800993
_walk_transit_origin,True
_walk_transit_destination,True
walk_transit_available,True
drive_transit_available,False
origin_walk_time,6.66
destination_walk_time,6.66
origin_density_measure,15357.201270933227
dest_density_measure,6356.574755049302
origin_density,1
dest_density,2
origin_zone_taxi_wait_time_mean,5.5
origin_zone_taxi_wait_time_sd,0
dest_zone_taxi_wait_time_mean,9.5
dest_zone_taxi_wait_time_sd,0
origTaxiWaitTime,5.5
destTaxiWaitTime,9.500000000000002
origin_zone_singleTNC_wait_time_mean,3.0
origin_zone_singleTNC_wait_time_sd,0
dest_zone_singleTNC_wait_time_mean,6.3
dest_zone_singleTNC_wait_time_sd,0
origSingleTNCWaitTime,3.0000000000000004
destSingleTNCWaitTime,6.299999999999999
origin_zone_sharedTNC_wait_time_mean,5.0
origin_zone_sharedTNC_wait_time_sd,0
dest_zone_sharedTNC_wait_time_mean,8.0
dest_zone_sharedTNC_wait_time_sd,0
origSharedTNCWaitTime,4.999999999999999
destSharedTNCWaitTime,7.999999999999998
totalWaitTaxi,15.000000000000002
totalWaitSingleTNC,9.299999999999999
totalWaitSharedTNC,12.999999999999996
_free_parking_available,False
_dest_hourly_peak_parking_cost,6.547036656269847
_dest_hourly_offpeak_parking_cost,18.629934897481057
_hourly_peak_parking_cost,6.547036656269847
_hourly_offpeak_parking_cost,18.629934897481057
daily_parking_cost,55.88980469244317
distance,1.6823656558990479
sov_available,True
sovtoll_available,True
hov2_available,True
hov2toll_available,True
hov3_available,True
hov3toll_available,True
walk_local_available,True
walk_commuter_available,False
walk_express_available,False
walk_heavyrail_available,False
walk_lrf_available,False
walk_ferry_available,False
drive_local_available,False
drive_commuter_available,False
drive_express_available,False
drive_heavyrail_available,False
drive_lrf_available,False
drive_ferry_available,False
destination_in_cbd,0
