alternative,probability_1,probability_2
person_id,2270797.0,2270800.0
0,0.02534768757609664,0.023697033190520887
1,0.053281469313689454,0.022514316179801225
2,0.02418707332188184,0.02271477505550764
3,0.020847479647049545,0.019527241447961096
4,0.018217732989737664,0.018486458837345687
5,0.0068947730638131855,0.027861987167341392
6,0.029106847570333876,0.03213145107255768
7,0.027374048603003246,0.07224286470279509
8,0.03270907101029257,0.03880742400354771
9,0.03511806800882035,0.03901634748249716
10,0.036561520268078844,0.04361182860755114
11,0.04104073984798111,0.16149603692012943
12,0.04152992525550905,0.06277505527457833
13,0.1300204498185331,0.02853649421039807
14,0.0427219147901654,0.04539787796845115
15,0.04721215365065264,0.04479708357970648
16,0.04579333256494116,0.0379015218560668
17,0.08442392054619251,0.03879545521264823
18,0.023056053974895917,0.037401670868012375
19,0.017268981557890372,0.03842497789451848
20,0.04278795132319439,0.019661095266938704
21,0.0415604434634813,0.02309537722353146
22,0.04319429991201252,0.03494945722023457
23,0.02779617516305522,0.029391364273379204
24,0.03493873273855123,0.03676480448398005
25,0.027009154020146912,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
