label,value_1,value_2
tour_id,93102716,93102839
person_id,2270797,2270800
tour_type,work,work
tour_type_count,1,1
tour_type_num,1,1
tour_num,1,1
tour_count,1,1
tour_category,mandatory,mandatory
number_of_participants,1,1
destination,913.0,940.0
origin,974,974
household_id,866761,866761
tdd,32.0,63.0
start,6.0,8.0
end,19.0,17.0
duration,13.0,9.0
composition,,
destination_logsum,,
age,43,38
earning,11700,2000
edu,16,1
hours,22,40
household_id_r,866761,866761
PNUM,2,1
race_id,1,1
relate,1,0
sex,2,1
student,0,0
work_at_home,0,0
worker,1,1
home_x,-122.34924519200001,-122.34924519200001
home_y,37.9695116581,37.9695116581
TAZ,974,974
ptype,1,1
pemploy,1,1
pstudent,3,3
age_16_to_19,False,False
age_16_p,True,True
adult,True,True
male,False,True
female,True,False
has_non_worker,False,False
has_retiree,False,False
has_preschool_kid,True,True
has_driving_kid,False,False
has_school_kid,True,True
has_full_time,True,True
has_part_time,False,False
has_university,False,False
student_is_employed,False,False
nonstudent_to_school,False,False
is_student,False,False
is_gradeschool,False,False
is_highschool,False,False
is_university,False,False
school_segment,0,0
is_worker,True,True
home_taz,974,974
value_of_time,8.658925286889026,8.658925286889026
school_taz,-1,-1
distance_to_school,,
roundtrip_auto_time_to_school,0.0,0.0
workplace_taz,913,940
workplace_location_logsum,13.05248857316184,13.131811513307815
distance_to_work,3.3526482582092285,0.7497288584709167
workplace_in_cbd,False,False
work_taz_area_type,4.0,4.0
roundtrip_auto_time_to_work,6.833333492279053,1.7933332920074463
work_auto_savings,52.766666412353516,30.71979331970215
work_auto_savings_ratio,0.4397222101688385,0.25599828362464905
free_parking_at_work,False,False
cdap_activity,M,M
travel_active,True,True
under16_not_at_school,False,False
has_preschool_kid_at_home,False,False
has_school_kid_at_home,False,False
mandatory_tour_frequency,work1,work1
work_and_school_and_worker,False,False
work_and_school_and_student,False,False
num_mand,1,1
num_work_tours,1,1
num_joint_tours,0,0
non_mandatory_tour_frequency,0,0
num_non_mand,0,0
num_escort_tours,0,0
num_eatout_tours,0,0
num_shop_tours,0,0
num_maint_tours,0,0
num_discr_tours,0,0
num_social_tours,0,0
num_non_escort_tours,0,0
serialno,2010000676000.0,2010000676000.0
hhsize,4,4
VEHICL,3,3
income,13700,13700
race_of_head,1,1
age_of_head,38,38
num_workers,2,2
children,2,2
tenure,2,2
recent_mover,1,1
block_id,60133660022001,60133660022001
HHT,4,4
sample_rate,0.004,0.004
chunk_id,0,0
income_in_thousands,13.7,13.7
income_segment,1,1
median_value_of_time,6.01,6.01
hh_value_of_time,8.658925286889026,8.658925286889026
num_non_workers,2,2
num_drivers,2,2
num_adults,2,2
num_children,2,2
num_young_children,1,1
num_children_5_to_15,1,1
num_children_16_to_17,0,0
num_college_age,0,0
num_young_adults,0,0
non_family,True,True
family,False,False
home_is_urban,False,False
home_is_rural,False,False
auto_ownership,0,0
hh_work_auto_savings_ratio,0.6957204937934875,0.6957204937934875
num_under16_not_at_school,1,1
num_travel_active,4,4
num_travel_active_adults,2,2
num_travel_active_preschoolers,1,1
num_travel_active_children,2,2
num_travel_active_non_preschoolers,3,3
participates_in_jtf_model,True,True
joint_tour_frequency,0_tours,0_tours
num_hh_joint_tours,0,0
auPkRetail,10.474082237415876,10.474082237415876
auPkTotal,12.787125051286655,12.787125051286655
auOpRetail,10.689410849380954,10.689410849380954
auOpTotal,12.991564390610817,12.991564390610817
trPkRetail,7.228674024292459,7.228674024292459
trPkTotal,9.406842170780815,9.406842170780815
trOpRetail,7.228674024292459,7.228674024292459
trOpTotal,9.406842170780815,9.406842170780815
nmRetail,6.52596922237141,6.52596922237141
nmTotal,8.078729940881281,8.078729940881281
objectid,975,975
taz1454,1071,1071
district,20,20
county,Contra Costa,Contra Costa
gacres,429.888175288,429.888175288
Shape__Are,0.000110673351173,0.000110673351173
Shape__Len,0.051288967170921,0.051288967170921
geometry,"POLYGON ((-122.344394235 37.9677279140001, -122.344894236 37.9662279130001, -122.345394236 37.9651279140001, -122.345594235 37.964127913, -122.345794235 37.963327914, -122.345694235 37.962927914, -122.347294235 37.9626279140001, -122.348009236 37.963067913, -122.348594235 37.9634279140001, -122.351195236 37.9633279130001, -122.351495235 37.964527914, -122.352067237 37.964374913, -122.352995236 37.964127913, -122.355095237 37.9639279130001, -122.355895237 37.9644279130001, -122.355295237 37.965027913, -122.355352237 37.9652169130001, -122.355595236 37.9660279140001, -122.356595237 37.9669279130001, -122.356891237 37.967045914, -122.357023238 37.9670829140001, -122.356971237 37.9672209130001, -122.353980239 37.9788319140001, -122.353791238 37.978796914, -122.353530238 37.9788069140001, -122.353495237 37.9789279140001, -122.351195237 37.978527915, -122.351395237 37.977827914, -122.351595238 37.9771279140001, -122.351695237 37.976527914, -122.352195238 37.9754279140001, -122.351395238 37.9747279150001, -122.350895237 37.9741279140001, -122.350095236 37.9734279140001, -122.349395237 37.9727279140001, -122.348795237 37.9720279150001, -122.348095236 37.971527914, -122.347895236 37.9711279140001, -122.347394237 37.970627914, -122.346794237 37.9700279140001, -122.346194236 37.969427915, -122.346994236 37.9682279140001, -122.346094235 37.9680279140001, -122.345194235 37.967927914, -122.344394235 37.9677279140001))","POLYGON ((-122.344394235 37.9677279140001, -122.344894236 37.9662279130001, -122.345394236 37.9651279140001, -122.345594235 37.964127913, -122.345794235 37.963327914, -122.345694235 37.962927914, -122.347294235 37.9626279140001, -122.348009236 37.963067913, -122.348594235 37.9634279140001, -122.351195236 37.9633279130001, -122.351495235 37.964527914, -122.352067237 37.964374913, -122.352995236 37.964127913, -122.355095237 37.9639279130001, -122.355895237 37.9644279130001, -122.355295237 37.965027913, -122.355352237 37.9652169130001, -122.355595236 37.9660279140001, -122.356595237 37.9669279130001, -122.356891237 37.967045914, -122.357023238 37.9670829140001, -122.356971237 37.9672209130001, -122.353980239 37.9788319140001, -122.353791238 37.978796914, -122.353530238 37.9788069140001, -122.353495237 37.9789279140001, -122.351195237 37.978527915, -122.351395237 37.977827914, -122.351595238 37.9771279140001, -122.351695237 37.976527914, -122.352195238 37.9754279140001, -122.351395238 37.9747279150001, -122.350895237 37.9741279140001, -122.350095236 37.9734279140001, -122.349395237 37.9727279140001, -122.348795237 37.9720279150001, -122.348095236 37.971527914, -122.347895236 37.9711279140001, -122.347394237 37.970627914, -122.346794237 37.9700279140001, -122.346194236 37.969427915, -122.346994236 37.9682279140001, -122.346094235 37.9680279140001, -122.345194235 37.967927914, -122.344394235 37.9677279140001))"
TOTHH,1716.0,1716.0
TOTPOP,6031.0,6031.0
EMPRES,2469.0,2469.0
HHINCQ1,542.0,542.0
HHINCQ2,533.0,533.0
HHINCQ3,456.0,456.0
HHINCQ4,185.0,185.0
AGE0004,405.0,405.0
AGE0519,1559.0,1559.0
AGE2044,2106.0,2106.0
AGE4564,1544.0,1544.0
AGE65P,417.0,417.0
AGE62P,600.0,600.0
SHPOP62P,0.0994859890565412,0.0994859890565412
TOTEMP,230.0,230.0
RETEMPN,14.0,14.0
FPSEMPN,11.0,11.0
HEREMPN,47.0,47.0
AGREMPN,0.0,0.0
MWTEMPN,35.0,35.0
OTHEMPN,123.0,123.0
TOTACRE,260.92254241560124,260.92254241560124
HSENROLL,0.0,0.0
TOPOLOGY,1,1
employment_density,0.8814876548062016,0.8814876548062016
pop_density,23.11413933102697,23.11413933102697
hh_density,6.576664415858443,6.576664415858443
hq1_density,2.0772448213259187,2.0772448213259187
PRKCST,0.0,0.0
OPRKCST,0.0,0.0
COLLFTE,0.0,0.0
COLLPTE,0.0,0.0
area_type_metric,25.31785846804247,25.31785846804247
area_type,4,4
TERMINAL,0,0
county_id,1,1
density_index,0.7773036051631254,0.7773036051631254
primary_purpose,work,work
in_period,PM,PM
out_period,EA,AM
number_of_participants,1,1
is_joint,False,False
_parent_tour_mode,,
work_tour_is_drive,False,False
work_tour_is_bike,False,False
work_tour_is_SOV,False,False
is_mandatory,True,True
is_joint (2),False,False
is_indiv,True,True
is_atwork_subtour,False,False
is_escort,False,False
ivot,0.11548777323603394,0.11548777323603394
dest_topology,1,1
terminal_time,0,0
dest_density_index,1.1384437643790262,2.2501699923599503
_walk_transit_origin,True,True
_walk_transit_destination,True,True
walk_transit_available,True,True
drive_transit_available,False,False
origin_walk_time,6.66,6.66
destination_walk_time,6.66,6.66
origin_density_measure,15357.201270933227,15357.201270933227
dest_density_measure,5399.278730151831,10780.950147746184
origin_density,1,1
dest_density,2,2
origin_zone_taxi_wait_time_mean,5.5,5.5
origin_zone_taxi_wait_time_sd,0,0
dest_zone_taxi_wait_time_mean,9.5,9.5
dest_zone_taxi_wait_time_sd,0,0
origTaxiWaitTime,5.5,5.5
destTaxiWaitTime,9.500000000000002,9.500000000000002
origin_zone_singleTNC_wait_time_mean,3.0,3.0
origin_zone_singleTNC_wait_time_sd,0,0
dest_zone_singleTNC_wait_time_mean,6.3,6.3
dest_zone_singleTNC_wait_time_sd,0,0
origSingleTNCWaitTime,3.0000000000000004,3.0000000000000004
destSingleTNCWaitTime,6.299999999999999,6.299999999999999
origin_zone_sharedTNC_wait_time_mean,5.0,5.0
origin_zone_sharedTNC_wait_time_sd,0,0
dest_zone_sharedTNC_wait_time_mean,8.0,8.0
dest_zone_sharedTNC_wait_time_sd,0,0
