label,value_1,value_2,value_3,value_4,value_5,value_6,value_7
first_trip,True,True,False,True,False,True,False
last_trip,True,False,True,False,True,False,True
total_terminal_time,0,0,0,0,0,0,0
free_parking_available,False,False,False,False,False,False,False
dest_hourly_peak_parking_cost,2.409826726688263,116.79605931250357,0.0,7.804005984465263,4.852925331984008,2.2102464794070875,0.0
origin_hourly_peak_parking_cost,0.0,2.409826726688263,116.79605931250357,0.0,7.804005984465263,4.852925331984008,2.2102464794070875
origin_duration,0.0,13.0,1.0,0.0,1.0,9.0,1.0
dest_duration,0.0,1.0,13.0,1.0,0.0,1.0,9.0
origin_parking_cost,0.0,31.32774744694742,116.79605931250357,0.0,7.804005984465263,43.67632798785608,2.2102464794070875
dest_parking_cost,0.0,116.79605931250357,0.0,7.804005984465263,0.0,2.2102464794070875,0.0
total_parking_cost,0.0,74.06190337972549,58.398029656251786,3.9020029922326316,3.9020029922326316,22.943287233631583,1.1051232397035438
trip_topology,1,1,1,1,1,1,1
density_index,1.1384437643790262,1.1384437643790262,15.545939828322753,0.9150624410831907,2.2501699923599503,2.2501699923599503,0.6861062229749499
origin_density_index,0.7773036051631254,15.545939828322753,0.7773036051631254,0.7773036051631254,0.9150624410831907,0.6861062229749499,0.7773036051631254
walk_transit_available,True,True,True,True,True,True,True
drive_transit_available,False,False,False,False,False,False,False
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,15357.201270933227,5399.278730151831,49809.451855143554,15357.201270933227,7413.349821206222,10780.950147746184,2949.5672620212044
origin_density,1,2,1,1,2,2,3
origin_zone_taxi_wait_time_mean,5.5,9.5,5.5,5.5,9.5,9.5,13.3
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0
origTaxiWaitTime,5.5,9.500000000000002,5.5,5.5,9.500000000000002,9.500000000000002,13.300000000000002
origin_zone_singleTNC_wait_time_mean,3.0,6.3,3.0,3.0,6.3,6.3,8.4
origin_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0
origSingleTNCWaitTime,3.0000000000000004,6.299999999999999,3.0000000000000004,3.0000000000000004,6.299999999999999,6.299999999999999,8.4
origin_zone_sharedTNC_wait_time_mean,5.0,8.0,5.0,5.0,8.0,8.0,11.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0
origSharedTNCWaitTime,4.999999999999999,7.999999999999998,4.999999999999999,4.999999999999999,7.999999999999998,7.999999999999998,11.000000000000002
sov_available,True,True,True,True,True,True,True
hov2_available,True,True,True,True,True,True,True
hov3_available,True,True,True,True,True,True,True
sovtoll_available,True,True,True,True,True,True,True
hov2toll_available,True,True,True,True,True,True,True
hov3toll_available,True,True,True,True,True,True,True
walk_local_available,True,True,True,True,True,True,False
walk_lrf_available,False,False,False,False,False,False,False
walk_express_available,False,False,False,False,False,False,False
walk_heavyrail_available,False,False,False,False,False,False,False
walk_commuter_available,False,False,False,False,False,False,False
drive_local_available_outbound,False,False,False,False,False,False,False
drive_local_available_inbound,False,False,False,False,False,False,False
drive_lrf_available_outbound,False,False,False,False,False,False,False
drive_lrf_available_inbound,False,False,False,False,False,False,False
drive_express_available_outbound,False,False,False,False,False,False,False
drive_express_available_inbound,False,False,False,False,False,False,False
drive_heavyrail_available_outbound,False,False,False,False,False,False,False
drive_heavyrail_available_inbound,False,False,False,False,False,False,False
drive_commuter_available_outbound,False,False,False,False,False,False,False
drive_commuter_available_inbound,False,False,False,False,False,False,False
walk_ferry_available,False,False,False,False,False,False,False
drive_ferry_available,False,False,False,False,False,False,False
trip_mode,TNC_SINGLE,TNC_SINGLE,WALK_LOC,WALK_LOC,WALK_LOC,TAXI,WALK
mode_choice_logsum,-0.1360488023697789,-0.691122842097265,-0.11042862397175679,0.16061133044658102,0.15558078105147946,0.13274347279291462,0.027263917650378642
