label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,value_71,value_72,value_73
destination,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974
origin,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,913,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940
failed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
next_trip_id,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744821734,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822714,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718,744822718
tour_mode,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC
trip_period,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hhsize,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
age,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
auto_ownership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
number_of_participants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tour_category,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory
parent_tour_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duration,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
value_of_time,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026
tour_type,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work
free_parking_at_work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
c_cost,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648
parent_tour_mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work_tour_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
i_tour_mode,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
tour_mode_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_auto,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_walk,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_walk_transit,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
tour_mode_is_drive_transit,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_ride_hail,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
inbound,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
first_trip,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
last_trip,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
total_terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
free_parking_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dest_hourly_peak_parking_cost,0.0,8.293186826638138,6.049076934369444,2.7714494073766867,0.14212345742249022,0.0,4.212007941851114,2.409826726688263,1.8277018969295435,0.6225737203490258,4.848925636150784,0.029301341379118714,4.852925331984008,4.772908935512062,60.78537501798195,116.79605931250357,2.2102464794070875,2.9035489928628477,0.060405062842571994,0.8585188961570424,7.362960460811669,9.302248096916156,2.2100440108722292,182.39358040857925,29.932855384678486,2.8832694501520613,0.0,0.040471721753731364,0.0,0.6294278895942499,2.9713373941343213,4.848925636150784,0.029301341379118714,0.02975046323186961,4.772908935512062,1.1412589915818718,60.78537501798195,43.20867084705409,7.804005984465263,0.0,13.60322134354991,4.1783140644192285,0.0,15.536687755473777,5.294021542485053,6.547036656269847,1.8961231018494766,1.311869686545155,0.0,0.2677868023879921,36.27406982596947,12.613742399997713,0.0,4.848925636150784,24.748981135274327,4.772908935512062,1.1412589915818718,2.7204025923213537,60.78537501798195,124.95311340519976,53.36301941823948,165.94370782035475,116.79605931250357,2.2102464794070875,13.60322134354991,5.294021542485053,0.8585188961570424,57.379847152986024,265.106108315105,182.39358040857925,13.072890471662753,4.894104921356662,8.057939893606601
origin_hourly_peak_parking_cost,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,2.409826726688263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008,4.852925331984008
origin_duration,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
dest_duration,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
origin_parking_cost,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,31.32774744694742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608,43.67632798785608
dest_parking_cost,0.0,8.293186826638138,6.049076934369444,2.7714494073766867,0.14212345742249022,0.0,4.212007941851114,2.409826726688263,1.8277018969295435,0.6225737203490258,4.848925636150784,0.029301341379118714,4.852925331984008,4.772908935512062,60.78537501798195,116.79605931250357,2.2102464794070875,2.9035489928628477,0.060405062842571994,0.8585188961570424,7.362960460811669,9.302248096916156,2.2100440108722292,182.39358040857925,29.932855384678486,2.8832694501520613,0.0,0.040471721753731364,0.0,0.6294278895942499,2.9713373941343213,4.848925636150784,0.029301341379118714,0.02975046323186961,4.772908935512062,1.1412589915818718,60.78537501798195,43.20867084705409,7.804005984465263,0.0,13.60322134354991,4.1783140644192285,0.0,15.536687755473777,5.294021542485053,6.547036656269847,1.8961231018494766,1.311869686545155,0.0,0.2677868023879921,36.27406982596947,12.613742399997713,0.0,4.848925636150784,24.748981135274327,4.772908935512062,1.1412589915818718,2.7204025923213537,60.78537501798195,124.95311340519976,53.36301941823948,165.94370782035475,116.79605931250357,2.2102464794070875,13.60322134354991,5.294021542485053,0.8585188961570424,57.379847152986024,265.106108315105,182.39358040857925,13.072890471662753,4.894104921356662,8.057939893606601
